2026-01-08 13:36:42 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:36:42 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:36:42 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:36:42 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:36:44 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:36:44 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:36:44 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:36:44 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:36:47 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:36:47 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:36:47 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:36:47 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:36:49 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:36:49 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:36:49 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:36:49 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:36:51 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:36:51 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:36:51 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:36:51 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:36:53 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:36:53 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:36:53 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:36:53 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:36:55 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:36:55 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:36:55 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:36:55 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:36:57 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:36:57 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:36:57 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:36:57 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
